Player Names,Total Points,Position & Team
Russell Wilson,126.36,QB - SEA
Cooper Kupp,115.90,WR - LA
Christian McCaffrey,111.90,RB - CAR
Lamar Jackson,110.20,QB - BAL
Austin Ekeler,107.00,RB - LAC
Patrick Mahomes,104.80,QB - KC
Keenan Allen,97.50,WR - LAC
Dalvin Cook,97.40,RB - MIN
Dak Prescott,91.22,QB - DAL
Chris Godwin,88.60,WR - TB
Nick Chubb,87.70,RB - CLE
Tyler Lockett,85.10,WR - SEA
Carson Wentz,83.92,QB - PHI
Jared Goff,81.26,QB - LA
Deshaun Watson,81.02,QB - HOU
Alvin Kamara,79.90,RB - NO
Mike Evans,78.80,WR - TB
Julio Jones,78.80,WR - ATL
Matthew Stafford,78.28,QB - DET
Marcus Mariota,76.52,QB - TEN
Jacoby Brissett,76.14,QB - IND
Michael Thomas,76.10,WR - NO
Mark Ingram,76.00,RB - BAL
Todd Gurley,75.80,RB - LA
Matt Ryan,75.80,QB - ATL
